435353 |  |  | TN-01-AB-008 | 46463456 | Sat Sep 27 2025 05:30:00 GMT+0530 (India Standard Time) | ROAD | 20000 | CHN8907 | 2025-09-27 |  |  | 46463456 | 27-09-2025 | 45746464 | 1 | parivallal transport | 
321404 | 435353 | 46463456 | 27-09-2025 | GDN | DMR2500147 |  | 27-09-2025 | 12:23 | 1140 CHENNAI | 27-09-2025 | Thanya Software | 27-09-2025 | 14:39 | ROAD |  |  |  |  |  | 1
321403 | 435353 | 46463456 | 27-09-2025 | GDN | DMR2500147 |  | 27-09-2025 | 12:23 | 1140 CHENNAI | 27-09-2025 | Thanya Software | 27-09-2025 | 14:39 | ROAD |  |  |  |  |  | 1
321404 | 435353 | 46463456 | 27-09-2025 | GDN | DMR2500147 |  | 27-09-2025 | 12:23 | 1140 CHENNAI | 27-09-2025 | Thanya Software | 27-09-2025 | 14:39 | ROAD |  |  |  |  |  | 1
321403 | 435353 | 46463456 | 27-09-2025 | GDN | DMR2500147 |  | 27-09-2025 | 12:23 | 1140 CHENNAI | 27-09-2025 | Thanya Software | 27-09-2025 | 14:39 | ROAD |  |  |  |  |  | 1
321407 | 12344 | MM100 | 10-07-2025 | FOXCONN | DMR2500123 |  | 10-07-2025 | 18:01 | 1040 SRI RANGA  | 10-07-2025 | Thanya Software | 27-09-2025 | 15:03 | SEA |  |  |  |  |  | 1
321406 | 12344 | MM100 | 10-07-2025 | FOXCONN | DMR2500123 |  | 10-07-2025 | 18:01 | 1040 SRI RANGA  | 10-07-2025 | Thanya Software | 27-09-2025 | 15:03 | SEA |  |  |  |  |  | 1
321405 | 12344 | MM100 | 10-07-2025 | FOXCONN | DMR2500123 |  | 10-07-2025 | 18:01 | 1040 SRI RANGA  | 10-07-2025 | Thanya Software | 27-09-2025 | 15:03 | SEA |  |  |  |  |  | 1
321407 | 12344 | MM100 | 10-07-2025 | FOXCONN | DMR2500123 |  | 10-07-2025 | 18:01 | 1040 SRI RANGA  | 10-07-2025 | Thanya Software | 27-09-2025 | 15:03 | SEA |  |  |  |  |  | 1
321406 | 12344 | MM100 | 10-07-2025 | FOXCONN | DMR2500123 |  | 10-07-2025 | 18:01 | 1040 SRI RANGA  | 10-07-2025 | Thanya Software | 27-09-2025 | 15:03 | SEA |  |  |  |  |  | 1
321405 | 12344 | MM100 | 10-07-2025 | FOXCONN | DMR2500123 |  | 10-07-2025 | 18:01 | 1040 SRI RANGA  | 10-07-2025 | Thanya Software | 27-09-2025 | 15:03 | SEA |  |  |  |  |  | 1
321407 |  | MM100 | 10-07-2025 |  | DMR2500123 |  | 10-07-2025 | 18:01 | 1040 SRI RANGA  |  | Thanya Software | 27-09-2025 | 15:03 | SEA |  |  |  |  |  | 1
321406 |  | MM100 | 10-07-2025 |  | DMR2500123 |  | 10-07-2025 | 18:01 | 1040 SRI RANGA  |  | Thanya Software | 27-09-2025 | 15:03 | SEA |  |  |  |  |  | 1
321405 |  | MM100 | 10-07-2025 |  | DMR2500123 |  | 10-07-2025 | 18:01 | 1040 SRI RANGA  |  | Thanya Software | 27-09-2025 | 15:03 | SEA |  |  |  |  |  | 1
